IdNumber_Numero-db|MikanNumber_Numero-MIKAN|Title-Titre|Image-Number_Numero-Image|ImageUrl|Access_Condition-acces|Branch_Service|DateIssued_Date|Description|Location_Endroit|Photographer_Photographe|Subject_Sujet
11|3191637|Major K. Henninger (centre), a German Army signals officer, speaking on a telephone linkup between Canadian and German forces, Wageningen, Netherlands, 5 May 1945.|a134408|http://central.bac-lac.gc.ca/.item/?op=img&id=a134408|Credit: Lieut J. Ernest DeGuire / Canada. Dept. of National Defence / Library and Archives Canada / PA-134408       @Restrictions on use: Nil       @Copyright: Expired|Army|May 5, 1945.|Sergeant J. Stacy of 1st Canadian Corps Signals is at left foreground|Wageningen, Netherlands,:|DeGuire, J. Ernest.|Mil. - Personnel - Foreign - German - 1945/05/05.@Mil. - Ops. - Land - 1945/05/05.@Army.
12|3191639|Corporal Victor Deblois of Le Régiment de la Chaudière guarding German prisoners on Juno Beach, Bernières-sur-Mer, France, 6 June 1944.|a133754|http://central.bac-lac.gc.ca/.item/?op=img&id=a133754|Credit: Lieut. Frank L. Dubervill / Canada. Dept. of National Defence / Library and Archives Canada / PA-133754       @Restrictions on use: Nil       @Copyright: Expired|Army|June 6, 1944.||Bernières-sur-Mer, France,:|Dubervill, Frank L.|Mil. - Personnel - P.O.W.'s - 1944/06/06.@France - Bernieres-sur-Mer.@Army.
13|3191650|A member of the Canadian Provost Corps (C.P.C.) guarding the first German prisoners to be captured by Canadian soldiers in the Normandy beachhead, France, 6 June 1944.|a136280|http://central.bac-lac.gc.ca/.item/?op=img&id=a136280|Credit: Lieut. Frank L. Dubervill / Canada. Dept. of National Defence / Library and Archives Canada / PA-136280       @Restrictions on use: Nil       @Copyright: Expired|Army|June 6, 1944.||Normandy, France:|Dubervill, Frank L.|Mil. - Personnel - P.O.W.'s - 1944/06/06.@Mil. - Ops. - Land - 1944/06/06.@Army.
14|3191657|Sapper C.W. Stevens of the 18th Field Company, Royal Canadian Engineers (R.C.E.), using a mirror to locate the igniters underneath a German Teller mine, France, 22 June 1944.|a136278|http://central.bac-lac.gc.ca/.item/?op=img&id=a136278|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-136278       @Restrictions on use: Nil       @Copyright: Expired|Army|June 22, 1944.||France,:|Bell, Ken.|Mil. - Ops. - Land - 1944/06/22.@Mil. - Units - R.C.E. - 1944/06/22.@Weapons - Ammunition - Mines.@Army.
15|3191666|Infantrymen of The Highland Light Infantry of Canada aboard LCI(L) 306 of the 2nd Canadian (262nd RN) Flotilla en route to France on D-Day, 6 June 1944.|a136981|http://central.bac-lac.gc.ca/.item/?op=img&id=a136981|Credit: Lt Gilbert Alexander Milne / Canada.  Dept. of National Defence / Library and Archives Canada / PA-136981       @Restrictions on use: Nil       @Copyright: Expired|Navy|June 6, 1944.||English Channel,:|Milne, Gilbert Alexander, 1914-|Mil. - Ops. - Sea - 1944/06/06.@Mil. - Units - H.L.I. - 1944/06/06.@Transp. - Land - Bicycles.@Mil. - Food Services - 1944/06/06.@Royal Canadian Navy (R.C.N.)
16|3191669|Major William Ewing saluting at the funeral of 55 members of “A” Company, The Black Watch (Royal Highland Regiment) of Canada, Ossendrecht,  Netherlands, 26 October 1944.|a136755|http://central.bac-lac.gc.ca/.item/?op=img&id=a136755|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-136755       @Restrictions on use: Nil       @Copyright: Expired|Army|October 26, 1944.||Ossendrecht, Belgium,:|Bell, Ken.|Ewing, William.@Mil. - Personnel - Graves - 1944/10/26.@Mil. - Units - Black Watch - 1944/10/26.@Army.
17|3191674|Pipe Major H. McDonald, Piper D.W. MacDonald and Piper W.J. Hannah at the burial of 55 infantrymen of "A" Company, The Black Watch (Royal Highland Regiment) of Canada, Ossendrecht, Netherlands, 26 October 1944.|a136820|http://central.bac-lac.gc.ca/.item/?op=img&id=a136820|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-136820       @Restrictions on use: Nil       @Copyright: Expired|Army|October 26, 1944.||Ossendrecht, Netherlands,:|Bell, Ken.|Mil. - Units - Black Watch - 1944/10/13.@Mil. - Personnel - Bands - 1944/10/26.@Mil. - Personnel - Graves - 1944/10/26.@Army.
18|3191681|Infantrymen of The Royal Winnipeg Rifles in Landing Craft Assault (LCAs) en route to land at Courseulles-sur-Mer, France, 6 June 1944.|a132651|http://central.bac-lac.gc.ca/.item/?op=img&id=a132651|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-132651       @Restrictions on use: Nil       @Copyright: Expired|Army|June 6, 1944.|||Unknown.|Mil. - Ops. - Combined - 1944/06/06.@Army.
19|3191691|Nursing sisters of No.10 Canadian General Hospital, Royal Canadian Army Medical Corps (R.C.A.M.C.), having a cup of tea upon arriving at Arromanches, France, 23 July 1944.|a132851|http://central.bac-lac.gc.ca/.item/?op=img&id=a132851|Credit: Lieut. H. Gordon Aikman / Canada. Dept. of National Defence / Library and Archives Canada / PA-132851       @Restrictions on use: Nil       @Copyright: Expired|Army|July 23, 1944.|(L-R): Lieutenants H. O’Donnell, T.M. Woolsey and J. Mackenzie|Arromanches, France,:|Aikman, H. Gordon.|Mil. - Medical - 1944/07/23.@O'Donnell, H.@MacKenzie, J.@Woolsey, T.M.@France - Arromanches.@Army.
20|3191705|Potsdamer Platz, Berlin, Germany, 9 July 1945.|a140126|http://central.bac-lac.gc.ca/.item/?op=img&id=a140126|Credit: Lieut. Michael M. Dean / Canada. Dept. of National Defence / Library and Archives Canada / PA-140126       @Restrictions on use: Nil       @Copyright: Expired|Army|July 9, 1945.||Berlin, Germany,:|Dean, Michael M.|Mil. - Ops. - Land - 1945/07/09.@Germany - Berlin.@Army.
21|3191706|H/Major J.W. Forth, chaplain of the Cameron Highlanders of Ottawa, assisting the Regimental Aid Party of the Cameron Highlanders of Ottawa in loading a wounded soldier onto a jeep near Caen, France, 15 July 1944.|a140192|http://central.bac-lac.gc.ca/.item/?op=img&id=a140192|Credit: Lieut. H. Gordon Aikman / Canada. Dept. of National Defence / Library and Archives Canada / PA-140192       @Restrictions on use: Nil       @Copyright: Expired|Army|July 15, 1944||Caen, France (vicinity),|Aikman, H. Gordon.|Mil. - Medical - 1944/07/15.@Transp. - Land - Jeeps.@Army.
22|3191723|Administration of plasma to a casualty, No.15 Canadian General Hospital, Royal Canadian Army Medical Corps (R.C.A.M.C.), El Arrouch, Algeria, 8 September 1943.|a141311|http://central.bac-lac.gc.ca/.item/?op=img&id=a141311|Credit: Lieut. Frederick Whitcombe / Canada. Dept. of National Defence / Library and Archives Canada / PA-141311       @Restrictions on use: Nil       @Copyright: Expired|Army|September 8, 1943.|(L-R): Private M. Courtnay, Major F.G. Smith, Captain F. Walton.|El Arrouch, Algeria:|Whitcombe, Frederick G.|Mil. - Medical - 1943/09.@Smith, F.G.@Courtenay, M.@Walton, F.@Army.
23|3191737|Personnel of the 1st Canadian Armoured Brigade carrying Lieutenant Harold Hanreck of the United States Army Air Corps on a stretcher after his aircraft crashed into the Adriatic Sea. San Vito di Ortona, Italy, 31 December 1943.|a144977|http://central.bac-lac.gc.ca/.item/?op=img&id=a144977|Credit: Lieut. Terry F. Rowe / Canada.  Dept. of National Defence / Library and Archives Canada / PA-144977       @Restrictions on use: Nil       @Copyright: Expired|Army|December 31, 1943.||San Vito, Italy,:|Rowe, Terry F.|Mil. - Medical - 1943/12/31.@Army.
24|3191757|Captains E.L. McGivern and J.H. Medhurst examining a German pillbox fortification, Dieppe, France, 3 September 1944.|a134448|http://central.bac-lac.gc.ca/.item/?op=img&id=a134448|Credit: Lieut. Ken Bell / Canada. Dept. of National Defence / Library and Archives Canada / PA-134448       @Restrictions on use: Nil       @Copyright: Expired|Army|September 3, 1944.||Dieppe, France:|Bell, Ken.|Mil. - Fortifications - 1944/09/03.@McGivern, E.L.@Medhurst, J.H.@France - Dieppe.@Army.
25|3191758|Royal Navy Beach Commandos aboard a Landing Craft Assault of the 529th Flotilla, Royal Navy, during a training exercise off the coast of England, 9 May 1944.|a136281|http://central.bac-lac.gc.ca/.item/?op=img&id=a136281|Credit: Lt Richard G. Arless / Canada. Dept. of National Defence / Library and Archives Canada / PA-136281       @Restrictions on use: Nil       @Copyright: Expired|Navy|May 9, 1944.||England (vicinity):|Arless, Richard Graham, 1919-|Mil. - Ops. - Sea - 1944/05/09.@Royal Canadian Navy (R.C.N.)
26|3191765|H/Major John W. Forth, Chaplain of The Cameron Highlanders of Ottawa (M.G.), helping the unit’s Regimental Aid Party to treat a wounded soldier near Caen, France, 15 July 1944.|a133244|http://central.bac-lac.gc.ca/.item/?op=img&id=a133244|Credit: Lieut. H. Gordon Aikman / Canada. Dept. of National Defence / Library and Archives Canada / PA-133244       @Restrictions on use: Nil       @Copyright: Expired|Army|July 15, 1944.||Caen, France (vicinity),:|Aikman, H. Gordon.|Military - Medical - 1944/07/15/.@Army.
27|3191782|Infantrymen of the 7th Canadian Infantry Brigade liberating Zwolle, Netherlands, 14 April 1945.|a145972|http://central.bac-lac.gc.ca/.item/?op=img&id=a145972|Credit: Lieut. Donald I. Grant / Canada. Dept. of National Defence / Library and Archives Canada / PA-145972       @Restrictions on use: Nil       @Copyright: Expired|Army|April 14, 1945.||Zwolle, Netherlands:|Grant, Donald I.|Netherlands - Dalfsen.@Mil. - Units - 3rd Canadian Infantry - 1945/04/13.@Mil. - Ops. - Land - 1945/04/13.@Army.
28|3191797|H.M. Queen Elizabeth, accompanied by Matron Agnes C. Neill, talking with personnel of No.15 Canadian General Hospital, Royal Canadian Army Medical Corps (R.C.A.M.C.), Bramshott, England, 17 March 1941.|a037475|http://central.bac-lac.gc.ca/.item/?op=img&id=a037475|Credit: Canada. Dept. of National Defence / Library and Archives Canada / PA-037475       @Restrictions on use: Nil       @Copyright: Expired|Army|March 17, 1941.||Bramshott, England:|DND.|Elizabeth, Queen Mother.@Mil. - Visits - 1941/03/17.@Mil. - Medical - 1941/03/17.@Army.
29|3191852|Lieutenant-Commander Fred Day and officers of the auxiliary anti-aircraft ship H.M.C.S. PRINCE ROBERT with liberated Canadian prisoners-of-war at Shamshuipo Camp, Hong Kong, August 1945.|a151738|http://central.bac-lac.gc.ca/.item/?op=img&id=a151738|Credit: PO Jack Hawes / Canada. Dept. of National Defence / Library and Archives Canada / PA-151738       @Restrictions on use: Nil       @Copyright: Expired|Navy|August 1945.||Hong Kong,:|Hawes, Jack.|Military - Operations - Sea - 1945/08.@Transportation - Water - H.M.C.S. PRINCE ROBERT.@Day, Fred.@Military - Personnel - P.O.W. - 1945/08.@Hong Kong.@Royal Canadian Navy (R.C.N.)
30|3191904|Pte. Jack Bailey of the Perth Regiment, sniping at enemy troops, Orsogna, Italy, 29 January 1944.|a130610|http://central.bac-lac.gc.ca/.item/?op=img&id=a130610|Credit: Lieut. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-130610       @Restrictions on use: Nil       @Copyright: Expired|Army|January 29, 1944.||Orsogna, Italy:|Stirton, Alexander Mackenzie, 1915-|Bailey, Jack.@Military - Operations - Land - 1944/01/29.@Military - Units - Perth Regiment - 1944/01/29.@Italy - Orsogna.@Army.
31|3191934|His Majesty King George VI inspecting the 2nd Medium Regiment, Royal Canadian Artillery (R.C.A.), Italy, July 1944.|a128090|http://central.bac-lac.gc.ca/.item/?op=img&id=a128090|Credit: Capt. Alexander M. Stirton / Canada.  Dept. of National Defence / Library and Archives Canada / PA-128090       @Restrictions on use: Nil       @Copyright: Expired|Army|July, 1944.||Italy:|Stirton, Alexander Mackenzie, 1915-|George VI, King.@Ceremonies - Military - Inspections - 1944/07.@Military - Units - Army - R.C.A. - 2nd Medium Regiment - 1944/07.@Italy.@Army.
32|3191978|Second Lieutenant Molly Lamb of the Canadian Women’s Army Corps (C.W.A.C.), a war artist, London, England, 12 July 1945.|a113772|http://central.bac-lac.gc.ca/.item/?op=img&id=a113772|Credit: Sgt. Karen M. Hermiston / Canada.  Dept. of National Defence  / Library and Archives Canada / PA-113772       @Restrictions on use: Nil       @Copyright: Expired|Army|July 12, 1945.||London, England,:|Hermiston, Karen M.|Lamb, Mollie.@Arts & Crafts.@Army.
33|3192096|Survivors of the minesweeper H.M.C.S. ESQUIMALT, which was torpedoed by the German submarine U-190 on 16 April 1945, disembarking from the rescue minesweeper H.M.C.S. SARNIA, Halifax, Nova Scotia, Canada, 16 April 1945.|a157021|http://central.bac-lac.gc.ca/.item/?op=img&id=a157021|Credit: Lt Richard G. Arless / Canada.  Dept. of National Defence / Library and Archives Canada / PA-157021       @Restrictions on use: Nil       @Copyright: Expired|Navy|April 16, 1945.||Halifax, Nova Scotia, Canada:|Arless, Richard Graham, 1919-|Mil. - Ops. - Sea - 1945/04.@Mil. - Personnel - Casualties - 1945/04.@Transp. - Water - H.M.C.S. ESQUIMALT.@Royal Canadian Navy (R.C.N.)
34|3192130|The Right Honourable W.L. Mackenzie King, Prime Minister of Canada, inspecting a guard of honour from Le Régiment de la Chaudière at the 1st Canadian Infantry Division’s Sports Day, Redhill, England, 1 July 1941.|a152440|http://central.bac-lac.gc.ca/.item/?op=img&id=a152440|Credit: Capt. Laurie A. Audrain / Canada. Dept. of National Defence / Library and Archives Canada / PA-152440       @Restrictions on use: Nil       @Copyright: Expired|Army|July 1, 1941||Redhill, England,|Audrain, Laurie A.|King, William Lyon Mackenzie, 1874 - 1950.@Ceremonies - Military - Inspections - 1941/08/23.@Army.
35|3192156|Infantrymen of the Stormont, Dundas and Glengarry Highlanders crossing the Orne River on a Bailey bridge built by the Royal Canadian Engineers (R.C.E.) en route to Caen, France, 18 July 1944.|a162435|http://central.bac-lac.gc.ca/.item/?op=img&id=a162435|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-162435       @Restrictions on use: Nil       @Copyright: Expired|Army|July 18, 1944.||Caen, France (vicinity),:|Bell, Ken.|Mil. - Ops. - Land - 194/07/18.@Mil. - Units - Stormont Dundas and Glengarry - 1944/07/18.@Transp. - Land - Bridges.@France - Caen - Environs.@Army.
36|3192177|Infantrymen of the North Nova Scotia Highlanders advancing  along the Orne River towards Vaucelles, France, 18 July 1944.|a141709|http://central.bac-lac.gc.ca/.item/?op=img&id=a141709|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-141709       @Restrictions on use: Nil       @Copyright: Expired|Army|July 18, 1944||Vaucelles, France (vicinity),|Bell, Ken, 1914-|Mil. - Units - North Nova Scotia Highlanders - 1944/07/18.@Mil. - Ops - Land - 1944/07/18.@France - Caen.@Army.
37|3192198|Lance-Corporal W.J. Curtis of the Royal Canadian Army Medical Corps (R.C.A.M.C.) bandages the burnt leg of a French boy whose brother looks on, Boissons, France, 19 June 1944.|a141703|http://central.bac-lac.gc.ca/.item/?op=img&id=a141703|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-141703       @Restrictions on use: Nil       @Copyright: Expired|Army|June 19, 1944.||Boissons, France,:|Bell, Ken.|Mil. - Medical - 1944/06/19.@Curtis, W.J.@Mil. - Units - Royal Cdn Army Medical Corps - 1944/06/19.@France - Calomby/Boissons - Environs.@France - Colomby-sur-Thaon.@France - Villons-les-Buissons.@Army.
38|3192207|Private H.E. Goddard of The Perth Regiment, carrying a Bren gun while advancing through a forest north of Arnhem, Netherlands.|a166370|http://central.bac-lac.gc.ca/.item/?op=img&id=a166370|Credit: Capt. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-166370       @Restrictions on use: Nil       @Copyright: Expired|Army|April 15, 1945.||North of Arnhem, Netherlands:|Smith, Jack H.|Goddard, H.E.@Mil. - Personnel - 1945/04/15.@Weapons - Small arms - Machine guns.@Army.
39|3192271|Regimental Aid Party treating a infantryman of The South Saskatchewan Regiment who was wounded by sniper fire while crossing a canal north of Laren, Netherlands, 7 April 1945.|a167193|http://central.bac-lac.gc.ca/.item/?op=img&id=a167193|Credit: Lieut. Daniel Guravich / Canada.  Dept. of National Defence / Library and Archives Canada / PA-167193       @Restrictions on use: Nil       @Copyright: Expired|Army|April 7, 1945.||Laren, Netherlands (vicinity):|Guravich, Daniel.|Military - Personnel - Casualties - 1945/04/07.@Military - Operations - Land - 1945/04/07.@Army.
40|3192311|Personnel of the Lorne Scots (Peel, Dufferin and Halton Regiment) purchasing Victory Bonds, South Beveland, Netherlands, 30 September 1944.|a168682|http://central.bac-lac.gc.ca/.item/?op=img&id=a168682|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-168682       @Restrictions on use: Nil       @Copyright: Expired|Army|September 30, 1944.|(L-R): Private J. Dean, Corporal J.R. Scrivens.|South Beveland, Netherlands:|Bell, Ken.|Historical Events - Victory Loan Campaign - 1944/09/30.@Military - Units - Lorne Scots Regiment - 1944/09/30.@Netherlands - South Beveland.@Army.
41|3192312|Infantrymen of The Black Watch (Royal Highland Regiment) of Canada purchasing Victory Bonds, South Beveland, Netherlands, 30 September 1944.|a168686|http://central.bac-lac.gc.ca/.item/?op=img&id=a168686|Credit: Lieut. Ken Bell / Canada.  Dept. of National Defence / Library and Archives Canada / PA-168686       @Restrictions on use: Nil       @Copyright: Expired|Army|September 30, 1944.|(L-R): Privates M. Therrien, J.A. Laplande, R.F. Gallahan.|South Beveland, Netherlands:|Bell, Ken.|Historical - Events - Victory Loan Campaign - 1944/09/30.@Military - Units - Black Watch - 1944/09/30.@Netherlands - South Beveland.@Army.
42|3192317|Gunners of  "B" Troop, 5th Battery, 5th Field Regiment, Royal Canadian Artillery, firing a 25-pounder (11.4 kg) gun.|a168908|http://central.bac-lac.gc.ca/.item/?op=img&id=a168908|Credit: Lieut. Michael M. Dean / Canada.  Dept. of National Defence / Library and Archives Canada / PA-168908       @Restrictions on use: Nil       @Copyright: Expired|Army|February 1, 1945.|(L-R): Sergeant Jack Brown, Bombardier Joe Wilson, Gunners Lyle Ludwig, Bill Budd, George Spence and Bill "Scotty" Stewart.|Malden, Netherlands,:|Dean, Michael M.|Military - Operations - Land - 1945/02/02.@Weapons - Armaments - Artillery.@Netherlands - Malden.@Army.
43|3192395|Landing craft en route to Dieppe, France, during Operation Jubilee, 19 August 1942.|a171080-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a171080-v6|Credit: Canada.  Dept. of National Defence / Library and Archives Canada / PA-171080       @Restrictions on use: Nil       @Copyright: Expired|Army|August 19, 1942.||Dieppe, France (vicinity):|Unknown.|Military - Operations - Water.@France - Dieppe.@Army.
44|3193083|Inspection of 25-pounder cartridge cases, Montréal, Québec, Canada, March 1941.|e000760277|http://central.bac-lac.gc.ca/.item/?op=img&id=e000760277|Credit: Nicholas Morant / National Film Board of Canada.  Photothèque / Library and Archives Canada / PA-183209       @Restrictions on use: Nil       @Copyright: Expired|Army|March 1941.||Montréal, Québec, Canada,:|Morant, Nicholas.|Army.
45|3193087|Workers assembling a Sexton self-propelled gun at the Montreal Locomotive Works, Montréal, Québec, Canada, August 1944.|a183211-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a183211-v6|Credit: Milton Meade / National Film Board / Library and Archives Canada / PA-183211       @Restrictions on use: Nil       @Copyright: Expired|Army|August 1944.||Montréal, Québec, Canada,:|Meade, Milton.|Army.
46|3193842|British commandos who took part in Operation JUBILEE, the raid on Dieppe, returning to England, 19 August 1942.|a183776-v6|http://central.bac-lac.gc.ca/.item/?op=img&id=a183776-v6|Credit: Library and Archives Canada / PA-183776       @Restrictions on use: Nil       @Copyright: Expired|Army|August 19, 1942|||Unknown.|Army.
47|3193844|Soldiers who took part in Operation JUBILEE, the raid on Dieppe, returning to England, 19 August 1942.|a183775|http://central.bac-lac.gc.ca/.item/?op=img&id=a183775|Credit: Library and Archives Canada / PA-183775       @Restrictions on use: Nil       @Copyright: Expired|Army|August 19, 1942|||Unknown.|Army.
48|3194286|Anesthetist Captain Shirley Fleming, No.20 Canadian General Hospital, Royal Canadian Army Medical Corps (R.C.A.M.C.), Leavesden, England, July 1944.|a128186|http://central.bac-lac.gc.ca/.item/?op=img&id=a128186|Credit: Lieut. Jack H. Smith / Canada.  Dept. of National Defence / Library and Archives Canada / PA-128186       @Restrictions on use: Nil       @Copyright: Expired|Army|July, 1944.||Leavesden, England:|Smith, Jack H.|Military - Medical - 1944/07.@Military - Units - Army - Medical Corps - 1944/07.@Services - Health & Welfare - Surgery.@Fleming, Shirley.@England - Leavesden.@Army.
49|3194289|Nursing sisters of No.10 Canadian General Hospital, Royal Canadian Army Medical Corps (R.C.A.M.C.), Arromanches, France,  23 July 1944.|a108173|http://central.bac-lac.gc.ca/.item/?op=img&id=a108173|Credit: Lieut. H. Gordon Aikman / Canada.  Dept. of National Defence / Library and Archives Canada / PA-108173       @Restrictions on use: Nil       @Copyright: Expired|Army|July 23, 1944.|(L-R): Lieutenants Jean Scrimgeour, Susan Edwards, Neta Moore, Leona Whitmore, Margaret Stewart, Jean Lawson, Irene Stephenson.|Arromanches, France:|Aikman, H. Gordon.|MIL. - MEDICAL.@MIL. - OPS. - LAND - 1944/07/23.@Army.
